date,state,daily,donations_new,donations_returning
2007-04-27,Malaysia,313,134,179
2007-04-28,Malaysia,703,477,226
2007-04-29,Malaysia,1567,980,587
2007-04-30,Malaysia,506,249,257
2007-05-01,Malaysia,1773,960,813
2007-05-02,Malaysia,19,13,6
2007-05-03,Malaysia,304,114,190
2007-05-04,Malaysia,433,177,256
2007-05-05,Malaysia,815,502,313
2007-05-06,Malaysia,778,518,260
2007-05-07,Malaysia,421,188,233
2007-05-08,Malaysia,500,289,211
2007-05-09,Malaysia,873,545,328
2007-05-10,Malaysia,1162,523,639
2007-05-11,Malaysia,333,120,213
2007-05-12,Malaysia,542,318,224
2007-05-13,Malaysia,1705,706,999
2007-05-14,Malaysia,600,368,232
2007-05-15,Malaysia,665,354,311
2007-05-16,Malaysia,444,237,207
2007-05-17,Malaysia,588,320,268
2007-05-18,Malaysia,520,257,263
2007-05-19,Malaysia,813,550,263
2007-05-20,Malaysia,1005,433,572
2007-05-21,Malaysia,442,273,169
2007-05-22,Malaysia,474,334,140
2007-05-23,Malaysia,749,232,517
2007-05-24,Malaysia,613,359,254
2007-05-25,Malaysia,854,534,320
2007-05-26,Malaysia,637,419,218
2007-05-27,Malaysia,614,386,228
2007-05-28,Malaysia,397,166,231
2007-05-29,Malaysia,469,231,238
2007-05-30,Malaysia,423,127,296
2007-05-31,Malaysia,736,417,319
2007-06-01,Malaysia,437,278,159
2007-06-02,Malaysia,459,236,223
2007-06-03,Malaysia,652,331,321
2007-06-04,Malaysia,381,188,193
2007-06-05,Malaysia,648,345,303
2007-06-06,Malaysia,753,387,366
2007-06-07,Malaysia,1051,423,628
2007-06-08,Malaysia,790,493,297
2007-06-09,Malaysia,622,445,177
2007-06-10,Malaysia,1477,798,679
2007-06-11,Malaysia,558,289,269
2007-06-12,Malaysia,575,386,189
2007-06-13,Malaysia,879,395,484
2007-06-14,Malaysia,572,288,284
2007-06-15,Malaysia,610,290,320
2007-06-16,Malaysia,614,381,233
2007-06-17,Malaysia,1307,647,660
2007-06-18,Malaysia,483,221,262
2007-06-19,Malaysia,421,206,215
2007-06-20,Malaysia,800,352,448
2007-06-21,Malaysia,727,474,253
2007-06-22,Malaysia,579,271,308
2007-06-23,Malaysia,695,449,246
2007-06-24,Malaysia,1018,526,492
2007-06-25,Malaysia,406,182,224
2007-06-26,Malaysia,598,291,307
2007-06-27,Malaysia,648,409,239
2007-06-28,Malaysia,577,352,225
2007-06-29,Malaysia,399,208,191
2007-06-30,Malaysia,336,186,150
2007-07-01,Malaysia,885,525,360
2007-07-02,Malaysia,499,308,191
2007-07-03,Malaysia,462,158,304
2007-07-04,Malaysia,869,458,411
2007-07-05,Malaysia,711,385,326
2007-07-06,Malaysia,1225,714,511
2007-07-07,Malaysia,1311,748,563
2007-07-08,Malaysia,1257,847,410
2007-07-09,Malaysia,538,221,317
2007-07-10,Malaysia,1135,464,671
2007-07-11,Malaysia,1332,551,781
2007-07-12,Malaysia,1374,615,759
2007-07-13,Malaysia,1164,564,600
2007-07-14,Malaysia,607,408,199
2007-07-15,Malaysia,890,453,437
2007-07-16,Malaysia,463,291,172
2007-07-17,Malaysia,1316,811,505
2007-07-18,Malaysia,801,423,378
2007-07-19,Malaysia,945,555,390
2007-07-20,Malaysia,679,381,298
2007-07-21,Malaysia,920,681,239
2007-07-22,Malaysia,908,487,421
2007-07-23,Malaysia,665,343,322
2007-07-24,Malaysia,1207,793,414
2007-07-25,Malaysia,831,535,296
2007-07-26,Malaysia,1234,748,486
2007-07-27,Malaysia,657,388,269
2007-07-28,Malaysia,1321,752,569
2007-07-29,Malaysia,649,412,237
2007-07-30,Malaysia,499,190,309
2007-07-31,Malaysia,767,469,298
2007-08-01,Malaysia,987,508,479
2007-08-02,Malaysia,772,286,486
2007-08-03,Malaysia,459,270,189
2007-08-04,Malaysia,1004,519,485
2007-08-05,Malaysia,1163,690,473
2007-08-06,Malaysia,474,205,269
2007-08-07,Malaysia,1097,615,482
2007-08-08,Malaysia,746,469,277
2007-08-09,Malaysia,817,450,367
2007-08-10,Malaysia,500,259,241
2007-08-11,Malaysia,748,464,284
2007-08-12,Malaysia,1195,697,498
2007-08-13,Malaysia,473,270,203
2007-08-14,Malaysia,676,400,276
2007-08-15,Malaysia,1082,745,337
2007-08-16,Malaysia,1097,688,409
2007-08-17,Malaysia,723,454,269
2007-08-18,Malaysia,929,668,261
2007-08-19,Malaysia,1041,661,380
2007-08-20,Malaysia,520,319,201
2007-08-21,Malaysia,1412,666,746
2007-08-22,Malaysia,1280,657,623
2007-08-23,Malaysia,982,534,448
2007-08-24,Malaysia,582,267,315
2007-08-25,Malaysia,689,443,246
2007-08-26,Malaysia,1350,876,474
2007-08-27,Malaysia,369,155,214
2007-08-28,Malaysia,1006,486,520
2007-08-29,Malaysia,1133,606,527
2007-08-30,Malaysia,591,269,322
2007-08-31,Malaysia,761,424,337
2007-09-01,Malaysia,376,267,109
2007-09-02,Malaysia,1162,573,589
2007-09-03,Malaysia,523,265,258
2007-09-04,Malaysia,1246,690,556
2007-09-05,Malaysia,1075,508,567
2007-09-06,Malaysia,1159,568,591
2007-09-07,Malaysia,1101,544,557
2007-09-08,Malaysia,1683,1179,504
2007-09-09,Malaysia,1581,782,799
2007-09-10,Malaysia,1181,650,531
2007-09-11,Malaysia,1437,671,766
2007-09-12,Malaysia,933,408,525
2007-09-13,Malaysia,152,60,92
2007-09-14,Malaysia,162,75,87
2007-09-15,Malaysia,269,137,132
2007-09-16,Malaysia,1095,720,375
2007-09-17,Malaysia,196,42,154
2007-09-18,Malaysia,303,148,155
2007-09-19,Malaysia,399,181,218
2007-09-20,Malaysia,363,199,164
2007-09-21,Malaysia,348,135,213
2007-09-22,Malaysia,240,111,129
2007-09-23,Malaysia,1447,597,850
2007-09-24,Malaysia,299,42,257
2007-09-25,Malaysia,288,158,130
2007-09-26,Malaysia,546,352,194
2007-09-27,Malaysia,683,426,257
2007-09-28,Malaysia,598,246,352
2007-09-29,Malaysia,187,100,87
2007-09-30,Malaysia,1426,754,672
2007-10-01,Malaysia,249,91,158
2007-10-02,Malaysia,362,216,146
2007-10-03,Malaysia,350,131,219
2007-10-04,Malaysia,537,302,235
2007-10-05,Malaysia,678,314,364
2007-10-06,Malaysia,500,256,244
2007-10-07,Malaysia,1220,683,537
2007-10-08,Malaysia,614,305,309
2007-10-09,Malaysia,647,327,320
2007-10-10,Malaysia,533,275,258
2007-10-11,Malaysia,562,289,273
2007-10-12,Malaysia,178,64,114
2007-10-13,Malaysia,41,13,28
2007-10-14,Malaysia,100,61,39
2007-10-15,Malaysia,153,63,90
2007-10-16,Malaysia,300,135,165
2007-10-17,Malaysia,434,211,223
2007-10-18,Malaysia,575,311,264
2007-10-19,Malaysia,372,133,239
2007-10-20,Malaysia,574,349,225
2007-10-21,Malaysia,1264,636,628
2007-10-22,Malaysia,551,247,304
2007-10-23,Malaysia,920,426,494
2007-10-24,Malaysia,1067,497,570
2007-10-25,Malaysia,1570,955,615
2007-10-26,Malaysia,754,390,364
2007-10-27,Malaysia,813,497,316
2007-10-28,Malaysia,1893,983,910
2007-10-29,Malaysia,592,237,355
2007-10-30,Malaysia,933,532,401
2007-10-31,Malaysia,627,358,269
2007-11-01,Malaysia,595,334,261
2007-11-02,Malaysia,817,416,401
2007-11-03,Malaysia,503,255,248
2007-11-04,Malaysia,1310,741,569
2007-11-05,Malaysia,492,227,265
2007-11-06,Malaysia,793,393,400
2007-11-07,Malaysia,1021,691,330
2007-11-08,Malaysia,288,176,112
2007-11-09,Malaysia,443,215,228
2007-11-10,Malaysia,420,267,153
2007-11-11,Malaysia,1070,506,564
2007-11-12,Malaysia,423,213,210
2007-11-13,Malaysia,671,266,405
2007-11-14,Malaysia,618,337,281
2007-11-15,Malaysia,998,528,470
2007-11-16,Malaysia,609,351,258
2007-11-17,Malaysia,562,339,223
2007-11-18,Malaysia,1046,512,534
2007-11-19,Malaysia,1095,384,711
2007-11-20,Malaysia,1333,602,731
2007-11-21,Malaysia,1025,429,596
2007-11-22,Malaysia,1583,888,695
2007-11-23,Malaysia,1562,767,795
2007-11-24,Malaysia,812,499,313
2007-11-25,Malaysia,1250,625,625
2007-11-26,Malaysia,492,238,254
2007-11-27,Malaysia,563,286,277
2007-11-28,Malaysia,841,493,348
2007-11-29,Malaysia,831,445,386
2007-11-30,Malaysia,516,211,305
2007-12-01,Malaysia,1043,836,207
2007-12-02,Malaysia,1366,705,661
2007-12-03,Malaysia,605,349,256
2007-12-04,Malaysia,934,589,345
2007-12-05,Malaysia,867,490,377
2007-12-06,Malaysia,1117,575,542
2007-12-07,Malaysia,725,364,361
2007-12-08,Malaysia,352,199,153
2007-12-09,Malaysia,1193,657,536
2007-12-10,Malaysia,571,295,276
2007-12-11,Malaysia,524,271,253
2007-12-12,Malaysia,897,455,442
2007-12-13,Malaysia,1400,654,746
2007-12-14,Malaysia,786,433,353
2007-12-15,Malaysia,766,448,318
2007-12-16,Malaysia,1334,709,625
2007-12-17,Malaysia,618,283,335
2007-12-18,Malaysia,555,283,272
2007-12-19,Malaysia,315,138,177
2007-12-20,Malaysia,3,0,3
2007-12-21,Malaysia,325,74,251
2007-12-22,Malaysia,456,295,161
2007-12-23,Malaysia,1246,534,712
2007-12-24,Malaysia,317,95,222
2007-12-25,Malaysia,254,166,88
